date,temperature,humidity,pressure,wind_speed,rain,storm
2021-01-02,6.4,80,1012.0,19.1,3.3,0
2021-01-03,2.25,89,1017.1,18.0,2.5,0
2021-01-04,3.35,84,1014.3,14.8,0.0,0
2021-01-05,1.1999999999999995,79,1013.0,11.2,0.0,0
2021-01-06,2.25,73,1014.9,24.8,0.0,0
2021-01-07,1.7000000000000002,63,1018.0,24.5,0.0,0
2021-01-08,-0.8000000000000003,63,1015.6,16.9,0.0,0
2021-01-09,-0.5,56,1011.7,20.9,0.0,0
2021-01-10,0.3000000000000002,60,1021.9,14.8,0.0,0
2021-01-11,-1.6,76,1025.2,3.2,0.0,0
2021-01-12,0.3500000000000001,75,1019.8,3.2,0.0,0
2021-01-13,0.8999999999999999,77,1016.2,4.7,0.0,0
2021-01-14,3.65,82,1010.9,3.6,0.0,0
2021-01-15,3.4,88,1014.3,20.9,1.5,0
2021-01-16,5.55,86,997.9,18.7,19.3,0
2021-01-17,4.15,59,1002.7,23.8,0.0,0
2021-01-18,4.2,63,1007.5,16.9,0.0,0
2021-01-19,1.6999999999999995,67,1017.0,12.2,0.0,0
2021-01-20,0.8999999999999999,62,1013.8,17.3,0.8,0
2021-01-21,-1.2999999999999998,63,1008.8,11.9,0.0,0
2021-01-22,3.1,59,1005.4,17.6,0.0,0
2021-01-23,-1.9,42,1016.0,29.2,0.0,0
2021-01-24,-3.0,43,1020.0,21.6,0.0,0
2021-01-25,-1.0500000000000005,48,1019.4,16.2,0.0,0
2021-01-26,0.6000000000000001,76,1015.0,13.0,2.8,0
2021-01-27,1.15,83,1014.4,18.0,0.5,0
2021-01-28,-3.0,56,1017.4,27.0,0.0,0
2021-01-29,-7.1000000000000005,47,1018.8,35.6,0.0,0
2021-01-30,-4.9,49,1024.7,17.6,0.0,0
2021-01-31,-5.699999999999999,60,1026.1,12.2,1.3,0
2021-02-01,-0.8,97,1009.6,40.0,17.5,0
2021-02-02,0.6000000000000001,93,995.2,28.1,1.8,0
2021-02-03,-0.2,78,998.7,19.8,0.8,0
2021-02-04,0.3000000000000002,64,1009.7,13.3,0.0,0
2021-02-05,2.0,81,1007.4,11.9,0.8,0
2021-02-06,1.6999999999999995,54,1016.8,16.9,0.0,0
2021-02-07,-0.2000000000000001,85,1015.1,15.8,7.4,0
2021-02-08,-6.05,68,1027.7,10.4,0.0,0
2021-02-09,-3.85,90,1024.0,10.8,0.3,0
2021-02-10,-2.7,65,1025.9,9.4,0.0,0
2021-02-11,-2.15,69,1024.5,14.0,4.3,0
2021-02-12,-4.65,46,1027.3,13.7,0.0,0
2021-02-13,-2.4,56,1025.9,16.6,0.0,0
2021-02-14,0.3,78,1023.2,12.6,0.0,0
2021-02-15,0.85,84,1021.9,15.5,0.3,0
2021-02-16,6.4,85,1006.2,22.7,18.0,0
2021-02-17,-1.2999999999999998,44,1026.2,18.7,0.0,0
2021-02-18,-3.2,78,1029.0,18.7,15.5,0
2021-02-19,-1.05,96,1019.3,18.4,5.1,0
2021-02-20,-1.05,72,1018.7,17.3,0.5,0
2021-02-21,-3.0,57,1031.0,11.9,0.0,0
2021-02-22,-0.25,84,1018.2,15.5,17.5,0
2021-02-23,2.55,79,1005.8,14.4,1.0,0
2021-02-24,5.85,70,1014.1,20.9,0.0,0
2021-02-25,4.2,48,1017.1,21.6,0.0,0
2021-02-26,1.6999999999999995,55,1030.4,7.9,0.0,0
2021-02-27,7.5,91,1022.6,16.9,10.7,0
2021-02-28,3.9,89,1023.1,11.2,5.6,0
2021-03-01,3.9,76,1005.9,21.6,8.1,0
2021-03-02,-3.0,37,1019.2,31.0,0.0,0
2021-03-03,3.4,48,1012.6,13.7,0.0,0
2021-03-04,2.55,52,1009.5,24.1,0.0,0
2021-03-05,-0.75,34,1011.3,28.1,0.0,0
2021-03-06,-1.0499999999999998,47,1017.9,19.8,0.0,0
2021-03-07,-0.25,49,1026.2,13.3,0.0,0
2021-03-08,0.3500000000000001,45,1029.6,14.8,0.0,0
2021-03-09,9.7,46,1026.9,17.6,0.0,0
2021-03-10,3.9,70,1032.8,13.0,0.0,0
2021-03-11,8.05,77,1024.2,15.1,0.0,0
2021-03-12,13.3,50,1018.1,17.6,0.0,0
2021-03-13,4.5,38,1022.1,23.0,0.0,0
2021-03-14,4.75,39,1015.5,28.4,0.0,0
2021-03-15,-1.9,30,1025.0,28.1,0.0,0
2021-03-16,-1.6,45,1026.1,9.0,0.0,0
2021-03-17,4.45,72,1021.6,7.2,0.0,0
2021-03-18,5.800000000000001,92,1014.1,15.5,13.5,0
2021-03-19,2.55,46,1020.2,25.9,3.3,0
2021-03-20,5.050000000000001,50,1033.2,9.0,0.0,0
2021-03-21,7.3,62,1033.5,6.8,0.0,0
2021-03-22,6.7,74,1029.3,9.4,0.0,0
2021-03-23,10.55,82,1025.3,11.2,0.0,0
